"Num","Path","Name","Length","Modified","sha-256","Format","parseproblem"
"18","backup%201996-2001/Other%20Napoleonic/","Lochet - Nile.doc","113664","Wed Jan 13 19:53:34 GMT 1999","c6b9dbaf30e4f4fb14419e682c4c9c67348c67581f03dcd80272e9504beb5e50","application/msword","false"
"19","backup%201996-2001/Other%20Napoleonic/","Lochet 15 Sept 98.doc","4706","Tue Sep 15 12:58:34 BST 1998","2b18c152304f7ee3370b0dd16a3a87a7c3ceba004941bd6d34fd219c4063d4ae","application/rtf","false"
"20","backup%201996-2001/Other%20Napoleonic/","Lochet health Brumaire","6549","Fri Apr 09 11:29:30 BST 1999","0280dda73a71f82b9c16efe5d8e540e32d8e2b427f2fc57257736fdf8970f00b","text/html; charset=iso-8859-1","false"
"21","backup%201996-2001/Other%20Napoleonic/","Lochet on Corps","6125","Tue Nov 24 20:39:06 GMT 1998","efffe17a934598e063044587f60115661c573565c5767eb287b06dda93a3413b","text/plain","false"
"22","backup%201996-2001/Other%20Napoleonic/","Marc R Nap. cavalry.doc","82944","Sun Mar 22 15:38:44 GMT 1998","27df862316eabbc839a12c18e8d55d8f70f5127d4a23410dfe0daf8e1db0f5b7","application/msword","true"
"23","backup%201996-2001/Other%20Napoleonic/","Nap Games Query.doc","2176","Sat Nov 11 18:04:34 GMT 2000","a311e1bdc2fd8ebaead97a56f9c604a2249dc520a259c57ca373c95d1e641d77","text/plain","false"
"24","backup%201996-2001/Other%20Napoleonic/","Nosworth.doc","59392","Mon Sep 11 11:13:26 BST 2000","9d91eab9e757a1a3118776017ef2ea4889e8924819f4bf789c3ef8c73ae74b2c","application/msword","false"
"25","backup%201996-2001/Other%20Napoleonic/","Nosworthy Columns.doc","59392","Thu Aug 24 11:56:30 BST 2000","9d91eab9e757a1a3118776017ef2ea4889e8924819f4bf789c3ef8c73ae74b2c","application/msword","false"
"26","backup%201996-2001/Other%20Napoleonic/","NYMASBKS.DOC","21504","Mon Aug 23 08:43:40 BST 1999","8c7bc82391f5ca56ad21678719d168be727ee7082f5520619f178d5fa877fe0c","application/msword","false"
"27","backup%201996-2001/Other%20Napoleonic/","paddy  Loch-Corps1.doc","12445","Sat Sep 19 15:22:44 BST 1998","d58609f75c6dece9e0549241ba22bc7ab70afe1e92da47cca370db020d9f6145","text/plain","false"
"28","backup%201996-2001/Other%20Napoleonic/","paddy Loch-Corps 2.doc","1479","Sat Sep 19 14:42:06 BST 1998","19158b4f384962f4a5af4788f5cf083890a28588979898e7c73ee16fbb2a4ccf","text/plain","false"
"29","backup%201996-2001/Other%20Napoleonic/","paddy Loch-Corps3.doc","17264","Sat Sep 19 14:42:18 BST 1998","16c27ed8df2f3194e9aaacf416504e16538816306490236b32dda444b18fcd7c","text/plain","false"
"30","backup%201996-2001/Other%20Napoleonic/","Wellingt.doc","46592","Sun Oct 08 20:18:46 BST 2000","c2e171283f86347f19a61fadb0e06b94d85e11c483fd32a41b88e9c5fc94f3b0","application/msword","false"
"31","backup%201996-2001/SMATS%20&c/","Programmes 2001.doc","5657","Fri Jan 05 18:10:06 GMT 2001","d0641ae8026c0fba888661f6de10d94fbfd66489b65fd5bdb366c2c0880a12a1","text/plain","false"
"32","backup%201996-2001/SMATS%20&c/","SMATS Programme Spring 2001.doc","19456","Thu Nov 16 04:32:54 GMT 2000","deaef4fef97610d49cbc2272f33e6f6c1f6fecb8746d730d32e1f780161cfe01","application/msword","false"
"33","backup%201996-2001/SMATS%20&c/","SMATS.doc","47104","Sat Sep 11 12:07:54 BST 1999","684f3a3521eb0fd07ca2032d39b7225b5daf3515fd162098328372ec16f71fd7","application/msword","false"
"34","backup%201996-2001/","'DEF'.DOC","1652","Tue May 04 11:20:46 BST 1999","8a8c26575685aaa06a14a6d2575bd81c402b5b990bdb13e555841f6ce06e9e4f","text/plain","false"
"35","backup%201996-2001/","8th Army.doc","20480","Mon Jun 11 19:07:56 BST 2001","54b62be148fdc732bf51de5a03205890424febd07b6a74c3a016afbbb5219b27","application/msword","false"
"36","backup%201996-2001/","A Fratt Letter.doc","1959","Wed Jan 31 17:36:14 GMT 2001","8143ff7acb54cb909805835ae31de51964e0ed7f2aa7e5fdf9d664e09b0aed69","text/html; charset=windows-1252","false"
"37","backup%201996-2001/","AA guns.doc","19410","Thu Mar 16 08:43:12 GMT 2000","c894faedc77165d82899423da44e87b08bdf560cc67059e93983d12d9034d604","text/plain","false"
"38","backup%201996-2001/","ACROBAT.TXT.doc","58368","Sat Mar 11 11:24:28 GMT 2000","0d862aa4bff15f373ad0ea5d2f88a6da979b8d396c1ef33cd337bd86407a9074","application/msword","false"
"39","backup%201996-2001/","ACW Review.DOC","39424","Thu Aug 31 07:36:56 BST 2000","35736f4d8fd9c12a7e17377b99e8afd80786af9a2cb9c106e795a4957ba02c7a","application/msword","false"
"40","backup%201996-2001/","ACW.DOC","3232","Tue May 04 11:38:50 BST 1999","68851fd72eef12464d390f4f70d6b15dee0e455b3a3c2a27080b853bd76b199c","text/plain","false"
"41","backup%201996-2001/","American Civil War.doc","515072","Tue Oct 17 13:07:56 BST 2000","cffa5c3d71b0bfba4fa49736e49a1dd132b1e0593664cbffa55342b617183a0b","application/msword","false"
"42","backup%201996-2001/","ARAKAN.DOC","3415","Tue May 04 11:12:26 BST 1999","fd336ac3b26fb47f12afcaa7264e2a72199a97b7edb359141d6ed8b8ef4ba24f","text/plain","false"
"43","backup%201996-2001/","Armd.Module.doc","65536","Thu Mar 15 06:59:48 GMT 2001","1418c807512101a2da5999facb9a619b08e20fbc1a79ae0364be195fb0e9af5e","application/msword","false"
"44","backup%201996-2001/","Arnold Review.doc","1946","Sat Jul 15 10:37:32 BST 2000","933e619ea4f8f2bd93be28edb4fc4095be0582fb161e5f294b80b607de1543d5","text/html; charset=iso-8859-1","false"
"45","backup%201996-2001/","B Trust Manchester.doc","57856","Fri Sep 17 12:00:36 BST 1999","9a1d153d17c73c2b518ad0b44b34cfcd1d1857d58be81d4e5ca2059f8fe15b47","application/msword","false"
"46","backup%201996-2001/","B-Trust Local Group.doc","145920","Thu Aug 19 13:39:42 BST 1999","d47dc5f589f4550f8c6e2a72263e5f3464c5b580aa66eb897517e67424d9fc93","application/msword","false"
"47","backup%201996-2001/","Battle archaeology.doc","81408","Tue Jan 11 17:33:32 GMT 2000","a151b39a29cedbad03306e6ddf3cfa5b7d5c5507becb45ec915251d686e78a93","application/msword","true"
"48","backup%201996-2001/","Belgian Game.doc","31232","Sat Jul 01 22:27:46 BST 2000","7869d1a64cb4c3191e7e089c8ef41896ec1cc2139a2d8d7e9facbd9ea8d1ce16","application/msword","false"
"49","backup%201996-2001/","Brolin ACW,Fr Rev.doc","6837","Tue Mar 13 15:03:20 GMT 2001","634f4c321de01c079c3ec827a1879c8e3160a1a4a7a9af484e350ac793ebdac5","text/html; charset=iso-8859-1","false"
"50","backup%201996-2001/","Brolin on ACW.doc","8057","Thu Mar 15 08:28:20 GMT 2001","0de6e1e007b4a4806dfe4ca5f1ab538c95a9632ad9463bb92c08f993cb8cabef","text/html; charset=windows-1252","false"
"51","backup%201996-2001/","Brolin's NCOs.doc","6547","Thu Apr 05 11:15:42 BST 2001","8d4fb3e81663694f9abc5eec74fef7b01d041bdf890450c2466ff65f07068992","text/html; charset=iso-8859-1","false"
"52","backup%201996-2001/","Clifton Battlefield.doc","1547","Sun Apr 22 08:15:32 BST 2001","bb025c61cf9e2c6cfbc3a2ea7a9a765eddcae3d629b9c093b45cef0bcea1f397","text/html; charset=windows-1252","false"
"53","backup%201996-2001/","Clifton.doc","36352","Tue May 01 16:39:18 BST 2001","f812dd51f17d674398fed676ba9d628f06874d241c05cbe57cc489b72dca42e6","application/msword","false"
"54","backup%201996-2001/","Clifton.rtf","12422","Thu May 24 11:32:56 BST 2001","1d5ed8f7ab552cd11456ee3942255f8148885644ab839eb136d6000ac567e69e","application/rtf","false"
"55","backup%201996-2001/","Court Hey Park.doc","4654","Sun Jul 08 21:57:14 BST 2001","8e96fe2daa72dba9c9573a74c1516f418457e262171a3f48b1611d9148c6397f","text/html; charset=iso-8859-1","false"
"56","backup%201996-2001/","D Henderson.doc","4075","Tue Mar 28 19:54:06 BST 2000","98f76b6fe63fc0ad305dbed1c0bb62784c85dded0714e3c3cf80f05b5fce86a7","text/html","false"
"57","backup%201996-2001/","Dirk Gently.doc","87552","Thu Jun 29 20:22:58 BST 2000","d64b6df05e82f550d3f2a7f943dc20f0c671e4a2469d98c4386f4bf84e062928","application/msword","false"
"58","backup%201996-2001/","Dirk Gently.rtf","10067","Mon Jun 19 12:11:24 BST 2000","75e1f9b26eaa07167ecd9f7d768ae6966307f0d2aef94694d32201481635d583","application/rtf","false"
"59","backup%201996-2001/","Dustoff.doc","28445","Thu Nov 30 16:50:18 GMT 2000","bc43583c2872bc9c0b0a54b9a90653c97b33ec082e2e36f0248a10753c467c47","text/plain","false"
"60","backup%201996-2001/","Farrish-Hoche.doc","42461","Sat Feb 06 15:09:18 GMT 1999","ab0035573807036e00c6e5f30a673ebc8b85ab915801e9fd285c2b4bd894aeda","text/plain","false"
"61","backup%201996-2001/","FKS.DOC","2772","Tue May 04 23:07:14 BST 1999","d8495c4cb4da8c06494343e4a51e0c4a0400b8a23b54f560a769cb82518cac3b","text/plain","false"
"62","backup%201996-2001/","Franchesi.doc","2196","Mon May 07 20:35:10 BST 2001","c3cec634a428c1dc0b07871160576f853ddd5a86d6b9dbaf7a5f0c673e0a8472","text/html; charset=iso-8859-1","false"
"63","backup%201996-2001/","Francini Queries NWFF.doc","3220","Sat Nov 25 16:17:38 GMT 2000","81bf0d5b86e2b9318819542d3f22cee2df3aef5441a432a12edebbdc36212b9b","text/plain","false"
"64","backup%201996-2001/","Fratt Illinois.doc","6239","Fri Feb 09 22:55:56 GMT 2001","62b7628f084afa3d53acd8276c3179607e2d769137665c298bd036700d5b4486","text/html; charset=windows-1252","false"
"65","backup%201996-2001/","Fratt.doc","130560","Sat Feb 10 15:49:08 GMT 2001","98b9c03546e97149b76e5e9057e3687ea96a8077c01f32e99a90b635f8e60c1f","application/msword","false"
"66","backup%201996-2001/","Gary's Review.doc","15587","Tue Jul 03 11:23:18 BST 2001","60810ff2ef57575bdfa6e4bba104241fab64bb18432dcc68a70c26293723e129","text/html; charset=iso-8859-1","false"
"67","backup%201996-2001/","Grainger's Vietnam.doc","43008","Tue Jan 23 07:56:10 GMT 2001","476081cfc76f80982ab9078c9c4322748850c047531f87237f6f8f273016afcb","application/msword","true"
"68","backup%201996-2001/","Grainger-Dagleish.doc","176640","Sat Mar 10 17:10:54 GMT 2001","0751379f94b86236aff052ef58c92b84f6aa7a76b4c97eb95f76110d312398d9","application/msword","false"
"69","backup%201996-2001/","Guerrill.doc","47104","Sat Sep 12 17:48:12 BST 1998","85e3a3ec3dda3e539537326eacc174bad6385de7ca0ffb26b972171a93fea394","application/msword","false"
"70","backup%201996-2001/","GWT  NORTH  ITALY  BATTLEFIELD  VISIT.doc","41984","Sun Jan 14 08:44:52 GMT 2001","a4fc9b2240bab159fd53c2b330fcf106bb369f69573c2bccfcf3ff3ef52e5e3d","application/msword","false"
"71","backup%201996-2001/","GWT West Front Tour.doc","118784","Tue Apr 20 17:41:38 BST 1999","6e919622dff428ac8b641b2c244ea9e81520354ad351fe9d4b190b96519f34a9","application/msword","false"
"72","backup%201996-2001/","Interwar & 1940.doc","69632","Fri Jan 26 15:14:48 GMT 2001","aa2131e708a54ffb677b3fda903f3c80982e678c224bd876123e73d869ff6872","application/msword","false"
"73","backup%201996-2001/","Love BCW.doc","1998","Sat Mar 10 19:21:52 GMT 2001","86f6bb62cce4b7a16c03885254c834dce31acf58e836634270c6d20cc10cd765","text/plain","false"
"74","backup%201996-2001/","Madder Ital trip.doc","3226","Sun May 20 00:04:50 BST 2001","ebd730db9e01978a95375cd42d4e39f398919a240eaf04800bc7c1ca3967bd98","text/html; charset=windows-1252","false"
"75","backup%201996-2001/","Marlboro photos.doc","137728","Wed May 17 11:16:06 BST 2000","6f8b358e63eea2ceebc4e3da891c9b2fd0edb6ad63e25875c5497bb3cccc6c59","application/msword","false"
"76","backup%201996-2001/","Mil2 Course Matrix 3.doc","71680","Thu Mar 15 08:33:24 GMT 2001","58b3fcb83b334029a4257956d115bfce3f74aa0bcb98b0bbed91f7573c9de60c","application/msword","false"
"77","backup%201996-2001/","Missionary-Pickett.doc","81408","Fri Feb 16 01:38:18 GMT 2001","482fcf34ca87de06429a974c72baf8621bca5a3b1865ecddaebf5f0bcb740821","application/msword","false"
"78","backup%201996-2001/","More Franchesi.049","3012","Mon May 07 20:35:14 BST 2001","c0e71731a475507903a5acde6042de55cbd4b1ef95a5815530a33af114f16d7a","text/html; charset=iso-8859-1","false"
"79","backup%201996-2001/","More Fratt.doc","4320","Thu Mar 15 08:42:14 GMT 2001","baddca30cd28b471e29ebc98bc47fbab40d67b76efc9c62cea4b185f74a3e735","text/html; charset=windows-1252","false"
"80","backup%201996-2001/","More Modules.doc","48128","Sat Mar 10 15:51:42 GMT 2001","a5d140d6d1787693bb83411abe53256655f1721c80f0f2d0dab20b261df76328","application/msword","false"
"81","backup%201996-2001/","More Rob Viet seminar.doc","4980","Mon Mar 26 15:33:50 BST 2001","7ad739bebe5167f48712a59b148bc238b4cf06b074ad0df4e8aa20d31a447d52","text/html; charset=iso-8859-1","false"
"82","backup%201996-2001/","MR letter to Lwther.doc","22528","Mon May 21 14:43:02 BST 2001","8a6b855ac4c82eb1746c11e5426202954878f71be9311841bbf827f854e58c7d","application/msword","false"
"83","backup%201996-2001/","NORMANDY.DOC","2975","Sat Feb 12 09:17:16 GMT 2000","9c94fe80753b5351bbf1ea75975ff644f13c4ae636f410f29896b1751f7419bc","text/plain","false"
"84","backup%201996-2001/","Op.Level Module.doc","22016","Fri Mar 16 17:01:16 GMT 2001","229a6a9b31cb74030869fe0c406b774210b7cdcde29905e7cd44aff9d2313183","application/msword","false"
"85","backup%201996-2001/","OPERATIO.doc","56320","Wed Apr 19 20:15:06 BST 2000","c2bc61f1d7026555a1b9b4dfbb61d5d04db1f7580c85126a8bb28f1b23e607ff","application/msword","false"
"86","backup%201996-2001/","Police History.007","30869","Sun Jul 08 21:57:32 BST 2001","169bbe616dac120eacf17f297509a256c0441738b579d095ad0e3d993946a68c","text/html; charset=windows-1252","false"
"87","backup%201996-2001/","Pte.Ryan.doc","16384","Sun Oct 11 09:40:44 BST 1998","06adc185af2f51d40e68a06187832dfafb2053cc6b1ba916bdd4c245117cb58f","application/msword","false"
"88","backup%201996-2001/","Raiding Game Start.doc","39936","Mon Jul 09 07:19:50 BST 2001","356a863cc1a0d8bf93c6fd9f40d4e88b71543eb8ab46ca17f02e6b958289507e","application/msword","false"
"89","backup%201996-2001/","Reviews of Strachan WW1.doc","63488","Wed Jun 20 14:16:30 BST 2001","1614e19a7a124a77962e2c8d557bd568ba96e61a2427af5222321fba275bcdf7","application/msword","false"
"90","backup%201996-2001/","Revocation.doc","22016","Sat Nov 25 13:23:36 GMT 2000","654465755133b8d3f54e92920a74a8f172b7141b3aa31fcd1d6200edbcbb369a","application/msword","false"
"91","backup%201996-2001/","Rifle Article.doc","92672","Thu May 18 12:31:04 BST 2000","caa006be8f8384b7edd31e82f7ca703cbe5e0d3fecd98dc56a118c46e74e33c1","application/msword","false"
"92","backup%201996-2001/","Rob Arab-Israel seminar.doc","4767","Mon Apr 02 20:08:28 BST 2001","bc754091fc1fe564ebf46f6721741e6850d55babea6e0f328a81d90d2a46994d","text/html; charset=iso-8859-1","false"
"93","backup%201996-2001/","Rob Cold War Seminar.doc","5382","Tue May 01 09:06:44 BST 2001","b55e1f8c989dac30218f34e4b0f81739d38d3da38f49e5c6047d82aa9685a8c9","text/html; charset=iso-8859-1","false"
"94","backup%201996-2001/","Rob on Marking.doc","5210","Wed Apr 25 17:42:40 BST 2001","c35dd72655a3d340a52df28b877b45838a9eb869cdb0e88bc8e8a23a7a2c7563","text/html; charset=iso-8859-1","false"
"95","backup%201996-2001/","Rob Yet Again.doc","9637","Thu Mar 15 08:39:56 GMT 2001","1b35937d51f5b8bb1766feee40efa7b32a1558acf17befbc6b19c80448b1d27a","text/html; charset=windows-1252","false"
"96","backup%201996-2001/","Rob's conference reports.doc","20480","Sat Jul 07 03:28:12 BST 2001","af51b8c70cb56786de4067e0eed6c21dbecf80d1548c890a7e9b325521bf4764","application/msword","false"
"97","backup%201996-2001/","Rob's Ia Drang.doc","56832","Sat Nov 25 13:09:42 GMT 2000","2c900338627f0a1f9d1a5b28263e490204773bc8b1195d2556a785490feba4eb","application/msword","false"
"98","backup%201996-2001/","Rob's Ypres trip.doc","22528","Wed Mar 14 15:34:54 GMT 2001","e4041a1f2e8150b7cdf1a9f27113455ba5c72e6ce83239ce93d0c8b978413af5","application/msword","false"
"99","backup%201996-2001/","Salford Descriptor.doc","168960","Tue Mar 06 14:54:00 GMT 2001","4adb27eae35fcfb41e8d590a5eade276682c9cc12f4ebc9c51049cacabdf88e8","application/msword","false"
"100","backup%201996-2001/","Salford students e-addresses.doc","23040","Thu Mar 15 05:56:30 GMT 2001","cbd0e4c889aa74550ef0733e5ee22cae20a5c10122863a3d89e5748cea0ee97f","application/msword","false"
"101","backup%201996-2001/","Sealion later thoughts.doc","2890","Thu Apr 26 18:54:04 BST 2001","4c31eee25dc2aa92f607d4eb5e68f0a85858b60c28e9215c13ae0f41ed7b1041","text/html","false"
"102","backup%201996-2001/","STILL more Franchesi.050","3537","Mon May 07 20:35:18 BST 2001","013d5dc17d104ddb4ba2be87772729921658bd845fb6255235af9d589b6e22ad","text/html; charset=iso-8859-1","false"
"103","backup%201996-2001/","SVCS.DOC","1625","Tue May 04 22:42:20 BST 1999","9a7be472e05fde404b617631242c53fc9b5a2e60004baaec9bd46e43ad01ad66","text/plain","false"
"104","backup%201996-2001/","Tsouras alt.hist.doc","47616","Sun Jan 28 19:28:42 GMT 2001","045ac53e2867cdeb4306c549ceeecdb367edd747f95479ac3fc111e54753fa87","application/msword","false"
"105","backup%201996-2001/","Union Medical analysis.doc","2455","Mon Oct 30 11:03:32 GMT 2000","aa8b94218ee8394ea5980d8f02664bca28b923c2c1900dcee60b45ea8263954b","text/html","false"
"106","backup%201996-2001/","War Memorials.doc","22016","Mon Jan 29 09:58:50 GMT 2001","910d31350b255a3e85adcc073ec97055b4363879931ab04ddf9bfc74b5b2b192","application/msword","false"
"107","backup%201996-2001/","White race Doomed.doc","7065","Wed Jun 14 23:24:52 BST 2000","c3fc0375b6ad61076584d81589d1661311b19e7f50e58eb5198cafc7e6e8e9f6","text/html; charset=iso-8859-1","false"
"108","backup%202003/Indonesia%20Game%207-6-3/","Guide to Indonesia.doc","81920","Sat Jun 07 19:33:50 BST 2003","61cf2b7fbd75bcf9bfd0a29633428443d2c58c240e748d256d7077792f2cfd32","application/msword","false"
"109","backup%202003/Indonesia%20Game%207-6-3/","Indonesia Crisis Admin.doc","73728","Mon May 26 17:38:46 BST 2003","18e73fa75d7146f46b6c67f089d1cfeccc6b64acc87f0bfaac38160ae50da62d","application/msword","false"
"110","backup%202003/Indonesia%20Game%207-6-3/","Indonesia Personal Briefings.doc","131072","Sat Jun 07 19:37:22 BST 2003","2db0efedba99c756a5ff28cfb29393a555490a6b733edfe6106677bd82949248","application/msword","true"
"111","backup%202003/Indonesia%20Game%207-6-3/","WS's Aceh conflict.doc","59392","Wed Jun 04 17:36:14 BST 2003","5b3952ac9bd9ff8fddbaa92b76e0f9f721ab1660c9ab37d7aadf887fd88c46da","application/msword","false"
"112","backup%202003/","Bradley's Tarbes.doc","63488","Sun Jun 15 05:00:14 BST 2003","00a04774880d931dfeb35f07bde8cfe4d8dac6b1246ab34d452002af2fb32346","application/msword","false"
"113","backup%202003/","Brunanburh.doc","102912","Sun Apr 04 16:46:00 BST 2004","8831e21658e24f419659200b971b1c93199f8c14cf081063bad752a5fd042438","application/msword","false"
"114","backup%202003/","Cassini CD instructions.doc","189952","Thu Jul 17 10:34:02 BST 2003","bae0d5cc3c925d945e747a121f702b94d1993df62d75db571b565d364e6506c4","application/msword","false"
"115","backup%202003/","Dixie Victorious.doc","122880","Tue Jun 24 15:47:42 BST 2003","f0773a77b498a5b7e60206b67b715d98a8ea7c9eecac6858e31f670a10d56f1e","application/msword","false"
"116","backup%202003/","Indonesia personal roles.doc","166912","Thu Nov 06 12:47:16 GMT 2003","4097b716935ed8147095e2dd22e47975183dcc537d58f0bab5afdbfe4ed89886","application/msword","true"
"117","backup%202003/","More Ind.Personal Roles.doc","151040","Thu Nov 06 19:46:48 GMT 2003","115558786ad89c176ba0043f34da4407b406a8cc0406ce81ca67359cd789c8e4","application/msword","false"
"118","backup%202003/","Nantwich Plaques.doc","69632","Mon Apr 05 18:06:00 BST 2004","48b1f1a5d1348a9fae9604f0a6b9a5fdd94165be6557eeca788dce9b443d1ca0","application/msword","false"
"119","backup%202003/","PCT Codes.doc.DOC","53248","Fri May 30 06:11:16 BST 2003","56c69ce5d22d86834cd6da7f4a266199534c694c80ea92673a551083cac185a0","application/msword","false"
"120","backup%202003/","Round America Quiz.doc","27136","Sun Apr 11 06:54:46 BST 2004","9baac6dc30b12e5ddc4ff3b2c2c83e31cc22a530adbfd2aafc22bc23ed303a32","application/msword","false"
"121","backup%202003/","Searching for the Unfindable.doc","41984","Tue Apr 06 12:20:44 BST 2004","c030ae4c99e68fa1f1aaa71e42c2258760ced4d073476aeb8742d964de3ab903","application/msword","false"
"122","backup%202003/","SMATS prog '04.doc","37888","Tue Dec 02 06:42:04 GMT 2003","a3e28e7901462f6a0d12c5550bad6bdca6eb2220bff7f89dfdcefc6eff66e5d0","application/msword","false"
"123","backup%202003/","That's You, That is....doc","52224","Mon Apr 05 11:30:56 BST 2004","2ee3861c63b60204cc938562a6d10485cc2c6849d1516c3bbb8b343feadb8b1d","application/msword","false"
"124","backup%202003/","The Champagne Battlefields of 1814.doc","51200","Mon Jun 09 20:05:44 BST 2003","6fa927bdd769bb967fd34c5b92ca9db6ca201453625e0aab0a7187342144aa03","application/msword","false"
"125","backup%202003/","Turnbull's HUSKY.doc","87552","Sat May 31 03:10:14 BST 2003","0af104b2bb5aa30b54577031bc043f1111746530aae8891d4e6dd4c8690ec6ec","application/msword","false"
"126","backup%202003/","Umpire's Indonesia personal roles.doc","54272","Wed Nov 05 17:51:22 GMT 2003","5bbd52341af491b5b9c3eaa0e3bd62b2aaa614171c9284c687e9250bd1bcc37a","application/msword","false"
"127","backup%202004/","Calais Turn 3.doc","112640","Tue Jul 27 16:38:56 BST 2004","8c8ee312eb9740520662586c636bf3df811759152c331974245f84d67eaf619b","application/msword","true"
"128","backup%202004/","Calais Turns 1 & 2.doc","219648","Tue Jul 27 15:14:18 BST 2004","cb004b751015c49918395fc85b789419f1365c8bea53cf8eebdbd1aaad3b0c93","application/msword","true"
"129","backup%202004/","Eagle of the Sea.doc","107008","Sat Jul 17 07:58:32 BST 2004","a969d7a2e88fd56ff915925c311b8d98a9b7a4477f3bc508a11a07a8982e030c","application/msword","false"
"130","backup%202004/","Euro 04 Predictions.doc","25088","Tue Jun 29 14:43:34 BST 2004","dca53653e294334ef8c6c0558a0801daeb68c232d6bc50d03e3d27afcdec925a","application/msword","false"
"131","backup%202004/","FCW - Paddy's points.doc","40960","Wed Jun 30 05:57:42 BST 2004","033959de8649920eba68378bd671e8a78684b60e73f450244a17dba4a4f4cbc1","application/msword","false"
"132","backup%202004/","Gaelle's stuff.doc","22528","Sat May 01 19:10:16 BST 2004","f7c6e84a6b11a6f8a65ec77621308b6e40f374f057b92b222014f7d14050844b","application/msword","false"
"133","backup%202004/","Ok - let's Rumble.doc","104960","Wed Jun 30 07:37:16 BST 2004","4bf3cb1e97e7773eba49f52913fda1bce2c72a53db96a79c3439bcc36da71bd7","application/msword","true"
"134","backup%202004/","RAQ - Guthrum's answers.doc","51200","Sun Apr 11 22:49:00 BST 2004","95006d4c483f160359ede47895ec5306e37e492e8d578ecbe2a6c6c4832ae330","application/msword","false"
